restaurant_id,restaurant_name,City,primary_cuisine,price_level,rating,num_reviews,ranking,popularity_score,avg_city_pressure,peak_city_pressure
d5964697,Disco Cafe,Lisbon,Unknown,1.0,3.0,2.0,3477.0,0.1992113487068326,71.93915752520559,97.65516301344215
d12248346,Hediard,Lisbon,Unknown,1.0,3.0,5.0,3478.0,0.23025671213251853,71.93915752520559,97.65516301344215
d10004354,Manuel Cacador,Lisbon,Unknown,1.0,3.0,4.0,3479.0,0.22209068208276875,71.93915752520559,97.65516301344215
d6542173,Cafe Vitoria,Lisbon,Cafe,1.0,3.0,137.0,3480.0,0.37069239970038387,71.93915752520559,97.65516301344215
d3395634,Restaurante Adega Do Atum,Lisbon,Portuguese,1.0,3.0,55.0,3481.0,0.3302970615571625,71.93915752520559,97.65516301344215
d2190077,Cafe Nicola,Lisbon,Unknown,1.0,3.0,1248.0,3482.0,0.46935562795969854,71.93915752520559,97.65516301344215
d5959903,Churrasqueira de Alvalade,Lisbon,Unknown,1.0,3.0,8.0,3483.0,0.24841697621501543,71.93915752520559,97.65516301344215
d5959183,MODERNA - Restaurante Cervejaria,Lisbon,Seafood,1.0,3.0,150.0,3484.0,0.3747244844955276,71.93915752520559,97.65516301344215
d3346333,Restaurante Nagoya,Lisbon,Japanese,1.0,3.0,114.0,3485.0,0.36252627073471017,71.93915752520559,97.65516301344215
d1529582,Restaurante Lautasco,Lisbon,Seafood,1.0,3.0,387.0,3486.0,0.4169929827254779,71.93915752520559,97.65516301344215
d12671927,Taqueria Patron,Lisbon,Unknown,1.0,4.0,12.0,3487.0,0.33988691273112615,71.93915752520559,97.65516301344215
d7645590,Restaurante Chique,Lisbon,Unknown,1.0,3.5,7.0,3488.0,0.2806414650703542,71.93915752520559,97.65516301344215
d2181250,Tertulia do Tejo,Lisbon,Seafood,1.0,3.0,23.0,3489.0,0.2923472165930659,71.93915752520559,97.65516301344215
d8796047,Pizzaria do Bairro,Lisbon,Unknown,1.0,3.5,6.0,3490.0,0.2746606745309011,71.93915752520559,97.65516301344215
d3844290,Nectar Winebar,Lisbon,Portuguese,1.0,3.0,31.0,3491.0,0.3052321676184338,71.93915752520559,97.65516301344215
d2616952,Sensei Lounge Lisboa,Lisbon,Unknown,1.0,3.0,5.0,3492.0,0.23025636622314286,71.93915752520559,97.65516301344215
d5977659,Chiado Terrasse,Lisbon,European,1.0,3.0,100.0,3493.0,0.3567119376671241,71.93915752520559,97.65516301344215
d3638607,El Sombrero,Lisbon,Mexican,1.0,3.0,19.0,3494.0,0.28418108826437344,71.93915752520559,97.65516301344215
d10391402,Ruposhi Bangla Indian and Portuguese Restuarent,Lisbon,Indian,1.0,5.0,2.0,3495.0,0.3492109042201588,71.93915752520559,97.65516301344215
d4572330,Restaurante Patrono,Lisbon,Seafood,1.0,3.0,100.0,3496.0,0.35671186394644017,71.93915752520559,97.65516301344215
d7778378,Boizao Grill,Lisbon,Barbecue,1.0,3.0,38.0,3497.0,0.31409244282394444,71.93915752520559,97.65516301344215
d3365282,Frei Papinhas,Lisbon,Mediterranean,1.0,3.0,170.0,3498.0,0.38029516563527344,71.93915752520559,97.65516301344215
d10130339,Weekend Cocktail Bar,Lisbon,Bar,1.0,5.0,2.0,3499.0,0.34921080606639016,71.93915752520559,97.65516301344215
d8612489,Retiro dos Sentidos,Lisbon,European,1.0,3.0,406.0,3500.0,0.41913390532735995,71.93915752520559,97.65516301344215
d3474189,Restaurante Cervejaria Santiago,Lisbon,Seafood,1.0,3.0,219.0,3501.0,0.39158031423490747,71.93915752520559,97.65516301344215
d9769784,Restaurant Asia Bamboo,Lisbon,Unknown,1.0,3.0,22.0,3502.0,0.29044069357122776,71.93915752520559,97.65516301344215
d6976645,Taste of India,Lisbon,Indian,1.0,3.0,38.0,3503.0,0.31409229584551873,71.93915752520559,97.65516301344215
d11305967,Lyso Central Restaurante,Lisbon,Unknown,1.0,3.0,5.0,3504.0,0.230256071929403,71.93915752520559,97.65516301344215
d2484729,Restaurant Unidos do Minho,Lisbon,European,1.0,2.5,11.0,3505.0,0.22380143573597527,71.93915752520559,97.65516301344215
d11688754,Pho House,Lisbon,Asian,1.0,3.0,7.0,3506.0,0.24314102337561402,71.93915752520559,97.65516301344215
d6899301,Cafe Pastelaria Castrense,Lisbon,European,1.0,3.0,34.0,3507.0,0.3092454169040468,71.93915752520559,97.65516301344215
d1830172,Restaurante Maritima Das Colunas,Lisbon,Seafood,1.0,3.0,223.0,3508.0,0.39238717454140626,71.93915752520559,97.65516301344215
d8624556,Barbeque Inn & Shawarma Kebab,Lisbon,Grill,1.0,3.5,5.0,3509.0,0.2677559499010783,71.93915752520559,97.65516301344215
d5445018,A Covelense,Lisbon,Portuguese,1.0,3.0,83.0,3510.0,0.3484567372602268,71.93915752520559,97.65516301344215
d13129532,Mc Donald's Rossio,Lisbon,Unknown,1.0,3.0,5.0,3511.0,0.23025590118706518,71.93915752520559,97.65516301344215
d10634900,Sushicome,Lisbon,Chinese,1.0,3.0,7.0,3512.0,0.24314087715017235,71.93915752520559,97.65516301344215
d2296046,Restaurante Canto do Camoes,Lisbon,European,1.0,3.0,139.0,3513.0,0.3713360472420918,71.93915752520559,97.65516301344215
d10399941,loja do Intendente,Lisbon,European,1.0,3.0,9.0,3514.0,0.25313521121049504,71.93915752520559,97.65516301344215
d4237025,Taberna a Preciosa,Lisbon,Mediterranean,1.0,3.0,239.0,3515.0,0.3954771278169643,71.93915752520559,97.65516301344215
d8705673,Perola de Londres,Lisbon,European,1.0,4.5,3.0,3516.0,0.32459539170371215,71.93915752520559,97.65516301344215
d10251651,Restaurante Take Away O Guerreiro,Lisbon,European,1.0,3.0,67.0,3517.0,0.3389922382602248,71.93915752520559,97.65516301344215
d9747762,Telepizza,Lisbon,Unknown,1.0,3.0,29.0,3518.0,0.30234089029555206,71.93915752520559,97.65516301344215
d2333520,Marques da se Fado,Lisbon,Portuguese,4.0,3.0,77.0,3519.0,0.34513729459347636,71.93915752520559,97.65516301344215
d5981444,Botequim Do Rei,Lisbon,Unknown,1.0,3.0,20.0,3520.0,0.28636571790196225,71.93915752520559,97.65516301344215
d3387936,Alfama Grill,Lisbon,Mediterranean,1.0,3.0,403.0,3521.0,0.4188020309729865,71.93915752520559,97.65516301344215
d8461910,Cheira a Lisboa,Lisbon,Unknown,1.0,3.0,4.0,3522.0,0.22208962899932325,71.93915752520559,97.65516301344215
d697267,Solmar,Lisbon,Portuguese,1.0,2.5,112.0,3523.0,0.32423954939859995,71.93915752520559,97.65516301344215
d12153732,Coreto das Gravatas,Lisbon,Unknown,1.0,2.5,15.0,3524.0,0.23668597443316852,71.93915752520559,97.65516301344215
d1925513,Tapas Bar 52,Lisbon,Bar,1.0,3.0,665.0,3525.0,0.4411908401722301,71.93915752520559,97.65516301344215
d11910293,Curry and Pizza House,Lisbon,Unknown,1.0,3.0,5.0,3526.0,0.2302555375934635,71.93915752520559,97.65516301344215
d2484689,Roman's,Lisbon,Italian,1.0,3.0,242.0,3527.0,0.39603322994724804,71.93915752520559,97.65516301344215
d7747593,Lina,Lisbon,Unknown,1.0,3.5,4.0,3528.0,0.25958948409830657,71.93915752520559,97.65516301344215
d6429670,Taberna Saudade,Lisbon,Portuguese,1.0,4.5,40.0,3529.0,0.4288315828245295,71.93915752520559,97.65516301344215
